Train | episode      0 | loss: 1.170 | acc: 0.000
Train | episode    100 | loss: 1.077 | acc: 0.062
Train | episode    200 | loss: 1.064 | acc: 0.125
Train | episode    300 | loss: 1.134 | acc: 0.062
Train | episode    400 | loss: 1.033 | acc: 0.000
Train | episode    500 | loss: 1.047 | acc: 0.000
Train | episode    600 | loss: 1.047 | acc: 0.125
Train | episode    700 | loss: 1.087 | acc: 0.062
Train | episode    800 | loss: 1.099 | acc: 0.062
Train | episode    900 | loss: 1.088 | acc: 0.000
Train | episode   1000 | loss: 1.052 | acc: 0.062
Train | episode   1100 | loss: 1.096 | acc: 0.000
Train | episode   1200 | loss: 1.134 | acc: 0.062
Train | episode   1300 | loss: 1.045 | acc: 0.000
Train | episode   1400 | loss: 1.014 | acc: 0.125
Train | episode   1500 | loss: 1.006 | acc: 0.125
Train | episode   1600 | loss: 1.009 | acc: 0.188
Train | episode   1700 | loss: 0.942 | acc: 0.312
Train | episode   1800 | loss: 0.977 | acc: 0.125
Train | episode   1900 | loss: 0.976 | acc: 0.062
Train | episode   2000 | loss: 1.005 | acc: 0.125
Train | episode   2100 | loss: 0.988 | acc: 0.125
Train | episode   2200 | loss: 0.931 | acc: 0.188
Train | episode   2300 | loss: 0.792 | acc: 0.312
Train | episode   2400 | loss: 0.882 | acc: 0.312
Train | episode   2500 | loss: 0.863 | acc: 0.188
Train | episode   2600 | loss: 0.955 | acc: 0.000
Train | episode   2700 | loss: 0.759 | acc: 0.250
Train | episode   2800 | loss: 0.746 | acc: 0.375
Train | episode   2900 | loss: 0.799 | acc: 0.188
Train | episode   3000 | loss: 0.828 | acc: 0.250
Train | episode   3100 | loss: 0.854 | acc: 0.125
Train | episode   3200 | loss: 0.957 | acc: 0.125
Train | episode   3300 | loss: 0.987 | acc: 0.000
Train | episode   3400 | loss: 0.762 | acc: 0.312
Train | episode   3500 | loss: 0.712 | acc: 0.375
Train | episode   3600 | loss: 0.798 | acc: 0.188
Train | episode   3700 | loss: 0.741 | acc: 0.438
Train | episode   3800 | loss: 0.689 | acc: 0.625
Train | episode   3900 | loss: 0.689 | acc: 0.312
Train | episode   4000 | loss: 1.173 | acc: 0.062
Train | episode   4100 | loss: 1.039 | acc: 0.125
Train | episode   4200 | loss: 0.910 | acc: 0.188
Train | episode   4300 | loss: 0.760 | acc: 0.438
Train | episode   4400 | loss: 0.831 | acc: 0.250
Train | episode   4500 | loss: 0.745 | acc: 0.438
Train | episode   4600 | loss: 0.770 | acc: 0.438
Train | episode   4700 | loss: 0.949 | acc: 0.375
Train | episode   4800 | loss: 0.658 | acc: 0.375
Train | episode   4900 | loss: 0.770 | acc: 0.250
Train | episode   5000 | loss: 0.629 | acc: 0.438
Train | episode   5100 | loss: 0.581 | acc: 0.562
Train | episode   5200 | loss: 0.749 | acc: 0.312
Train | episode   5300 | loss: 0.651 | acc: 0.375
Train | episode   5400 | loss: 0.673 | acc: 0.375
Train | episode   5500 | loss: 0.639 | acc: 0.500
Train | episode   5600 | loss: 0.588 | acc: 0.438
Train | episode   5700 | loss: 0.486 | acc: 0.688
Train | episode   5800 | loss: 0.498 | acc: 0.688
Train | episode   5900 | loss: 0.699 | acc: 0.312
Train | episode   6000 | loss: 0.405 | acc: 0.688
Train | episode   6100 | loss: 0.567 | acc: 0.562
Train | episode   6200 | loss: 0.629 | acc: 0.312
